,benchmark_value,cash,date,execution_loss,long_exposure,pnl,portfolio_value,positions,short_exposure
463,95609.0,100000,2016-09-13 12:59:37.806610,-105,358924,-2590,458924,"{u'A': 7, u'B': 20}",0
464,95545.0,100000,2016-09-13 13:27:40.938760,-103,288160,-2305,388160,"{u'A': 4, u'B': 20}",0
465,95541.0,100000,2016-09-13 15:01:06.045940,-100,307518,-2248,407518,"{u'A': 4, u'B': 22}",0
466,95434.0,100000,2016-09-13 15:28:46.751370,-101,273939,-1837,373939,"{u'A': 3, u'B': 21}",0
467,95375.0,100000,2016-09-13 15:55:29.650160,-105,273702,-1582,373702,"{u'A': 3, u'B': 21}",0
468,95062.0,100000,2016-09-13 16:24:36.736850,-103,305804,-602,405804,"{u'A': 4, u'B': 22}",0
469,94937.0,100000,2016-09-13 16:56:13.727410,-106,276553,-230,376553,"{u'A': 4, u'B': 19}",0
470,94433.0,100000,2016-09-13 17:26:28.821440,-120,190323,1020,290323,"{u'A': 2, u'B': 15}",0
471,94285.0,100000,2016-09-13 17:57:39.880420,-116,199500,1429,299500,"{u'A': 2, u'B': 16}",0
472,94363.0,100000,2016-09-13 19:15:37.930080,-117,185903,1354,285903,"{u'A': 1, u'B': 17}",0
473,94508.0,100000,2016-09-13 20:24:51.820980,-116,232829,1029,332829,"{u'A': 3, u'B': 17}",0
474,94520.0,100000,2016-09-13 21:33:39.724550,-115,205462,984,305462,"{u'A': 1, u'B': 19}",0
475,94372.0,100000,2016-09-13 22:36:35.765280,-116,218860,1253,318860,"{u'A': 2, u'B': 18}",0
476,94230.0,100000,2016-09-13 23:27:15.739420,-123,241746,1612,341746,"{u'A': 3, u'B': 18}",0
477,94101.0,100000,2016-09-14 00:00:09.084650,-116,291848,2084,391848,"{u'A': 6, u'B': 16}",0
478,93964.0,100000,2016-09-14 00:34:09.780770,-118,285971,2513,385971,"{u'A': 7, u'B': 13}",0
479,93737.0,100000,2016-09-14 01:12:06.774720,-122,229590,3087,329590,"{u'A': 5, u'B': 12}",0
480,93450.0,100000,2016-09-14 11:05:21.955420,-119,261438,3851,361438,"{u'A': 6, u'B': 13}",0
481,94599.0,100000,2016-09-14 11:36:15.992350,-125,283797,640,383797,"{u'A': 6, u'B': 15}",0
482,94741.0,100000,2016-09-14 11:57:03.758400,-123,293838,238,393838,"{u'A': 6, u'B': 16}",0
483,94721.0,100000,2016-09-14 12:19:00.314060,-124,284163,243,384163,"{u'A': 6, u'B': 15}",0
484,94411.0,100000,2016-09-14 12:44:49.949650,-125,147764,1107,247764,"{u'A': 1, u'B': 13}",0
485,94152.0,100000,2016-09-14 13:13:16.372000,-124,124072,1505,224072,"{u'A': 0, u'B': 13}",0
486,94175.0,100000,2016-09-14 13:42:10.715870,-122,137765,1498,237765,"{u'A': 1, u'B': 12}",0
487,94296.0,100000,2016-09-14 15:10:10.829420,-120,133812,1318,210559,"{u'A': -1, u'B': 14}",-23253
488,94203.0,100000,2016-09-14 15:34:01.240960,-119,222437,1641,322437,"{u'A': 3, u'B': 16}",0
489,94164.0,100000,2016-09-14 15:57:34.202870,-120,268807,1744,368807,"{u'A': 5, u'B': 16}",0
490,94173.0,100000,2016-09-14 16:23:06.259600,-119,278394,1706,378394,"{u'A': 5, u'B': 17}",0
491,94278.0,100000,2016-09-14 16:48:33.329590,-118,288264,1404,388264,"{u'A': 5, u'B': 18}",0
492,94207.0,100000,2016-09-14 17:12:26.360330,-118,288037,1644,388037,"{u'A': 5, u'B': 18}",0
493,93977.0,100000,2016-09-14 17:35:03.514030,-120,374655,2473,474655,"{u'A': 10, u'B': 15}",0
494,94089.0,100000,2016-09-14 17:57:25.982800,-120,365538,2050,465538,"{u'A': 10, u'B': 14}",0
495,94361.0,100000,2016-09-14 18:19:45.063650,-122,306356,1137,406356,"{u'A': 7, u'B': 15}",0
496,94336.0,100000,2016-09-14 19:43:05.797650,-121,302128,1211,402128,"{u'A': 6, u'B': 17}",0
497,94385.0,100000,2016-09-14 20:54:01.936090,-120,269447,1061,369447,"{u'A': 5, u'B': 16}",0
498,94500.0,100000,2016-09-14 21:54:20.043900,-118,264348,693,364348,"{u'A': 6, u'B': 13}",0
499,94564.0,100000,2016-09-14 22:50:36.334700,-118,324927,475,424927,"{u'A': 9, u'B': 12}",0
500,94369.0,100000,2016-09-14 23:31:01.514240,-121,277706,1166,377706,"{u'A': 7, u'B': 12}",0
501,94148.0,100000,2016-09-14 23:51:57.229780,-121,342593,1970,442593,"{u'A': 9, u'B': 14}",0
502,94534.0,100000,2016-09-15 00:17:58.043640,-120,282316,806,382316,"{u'A': 8, u'B': 10}",0
503,94491.0,100000,2016-09-15 00:44:03.860830,-122,305522,882,405522,"{u'A': 9, u'B': 10}",0
504,94325.0,100000,2016-09-15 01:09:37.631970,-124,254304,1351,354304,"{u'A': 6, u'B': 12}",0
505,94353.0,100000,2016-09-15 01:39:08.450120,-122,240663,1351,340663,"{u'A': 5, u'B': 13}",0
506,94355.0,100000,2016-09-15 11:35:15.549360,-117,329615,1102,429615,"{u'A': 8, u'B': 15}",0
507,94058.0,100000,2016-09-15 12:00:05.609850,-115,295869,2099,395869,"{u'A': 7, u'B': 14}",0
508,94096.0,100000,2016-09-15 12:26:38.290680,-111,328754,1953,428754,"{u'A': 8, u'B': 15}",0
509,94199.0,100000,2016-09-15 12:57:48.499900,-109,273058,1563,373058,"{u'A': 6, u'B': 14}",0
510,94359.0,100000,2016-09-15 13:35:10.494190,-109,273520,1159,373520,"{u'A': 6, u'B': 14}",0
511,94332.0,100000,2016-09-15 15:09:20.046760,-109,282996,1260,382996,"{u'A': 6, u'B': 15}",0
512,94687.0,100000,2016-09-15 15:45:03.562560,-110,231916,421,331916,"{u'A': 5, u'B': 12}",0
513,94688.0,100000,2016-09-15 16:13:16.221850,-109,245656,414,345656,"{u'A': 6, u'B': 11}",0
514,94595.0,100000,2016-09-15 16:52:10.505780,-108,311243,691,411243,"{u'A': 8, u'B': 13}",0
515,95060.0,100000,2016-09-15 17:23:36.674090,-113,378900,-964,478900,"{u'A': 10, u'B': 15}",0
516,94961.0,100000,2016-09-15 17:50:29.371720,-114,341336,-644,441336,"{u'A': 8, u'B': 16}",0
517,94645.0,100000,2016-09-15 18:16:24.492810,-112,303117,474,403117,"{u'A': 6, u'B': 17}",0
518,95043.0,100000,2016-09-15 19:53:14.915600,-117,257531,-679,357531,"{u'A': 4, u'B': 17}",0
519,94926.0,100000,2016-09-15 21:10:24.642240,-119,220012,-371,320012,"{u'A': 2, u'B': 18}",0
520,95012.0,100000,2016-09-15 22:15:05.783000,-119,229832,-574,329832,"{u'A': 2, u'B': 19}",0
521,94945.0,100000,2016-09-15 23:01:58.531410,-125,229667,-430,329667,"{u'A': 2, u'B': 19}",0
522,94603.0,100000,2016-09-15 23:39:39.680620,-125,261717,551,361717,"{u'A': 3, u'B': 20}",0
523,94900.0,100000,2016-09-16 00:06:57.978290,-125,258440,-321,358440,"{u'A': 2, u'B': 22}",0
524,95065.0,100000,2016-09-16 00:40:15.532810,-124,211970,-725,311970,"{u'A': 0, u'B': 22}",0
525,95245.0,100000,2016-09-16 01:15:41.525260,-124,212410,-1107,312410,"{u'A': 0, u'B': 22}",0
526,95559.0,100000,2016-09-19 11:18:58.950580,-125,284148,-2288,384148,"{u'A': 3, u'B': 22}",0
527,95894.0,100000,2016-09-19 11:49:44.151760,-171,285419,-3485,385419,"{u'A': 3, u'B': 22}",0
